,name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,core,hdmi,mcr,wifi,bluetooth,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity,pixel_width,pixel_height,usb3,usb2,type_c,processor_brand,processor_model,processor_gen,processor
10,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),69990.0,apple,14846,4.7,Mac,Performance,medium,lite,1.0,small,high,16:9,0,0,8,0,256,Integrated,12.0,16.0,8.0,0,0,1,1,1,1,1,0,0,0,,3.0,medium,2560.0,1600.0,2,0,0,Apple,M1,2.0,others
11,HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),55999.0,hp,97,4.3,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,1,8,0,512,AMD,16.0,12.0,6.0,1,1,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,2,0,0,AMD,5,5.0,AMD 5 5.0
12,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),85990.0,asus,68,4.4,Windows,Performance,thick,heavy,1.0,medium,low,16:9,1,0,16,0,1024,NVIDIA,24.0,20.0,14.0,1,0,1,1,1,1,1,0,1,0,,4.0,very_high,1920.0,1080.0,2,0,0,Intel,i7,12.0,Intel i7 12.0
13,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),49990.0,samsung,332,4.3,Windows,Business,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,12.0,12.0,10.0,1,0,1,1,0,1,0,0,1,0,,4.0,low,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
14,Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),67190.0,dell,119,4.35,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,18.0,16.0,12.0,1,0,1,1,1,1,0,0,1,0,,3.0,high,1920.0,1080.0,3,0,0,Intel,i5,12.0,Intel i5 12.0
15,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),45990.0,hp,66,4.25,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,AMD,8.0,12.0,6.0,1,1,1,1,1,1,0,0,0,0,,3.0,medium,1920.0,1080.0,2,0,0,AMD,5,5.0,AMD 5 5.0
16,Acer One 14 Z8-415 2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),34990.0,acer,250,3.85,Windows,Everyday Use,medium,lite,1.0,small,low,16:9,0,0,16,0,512,Integrated,8.0,8.0,4.0,1,0,1,1,0,1,0,0,1,0,,2.0,medium,1920.0,1080.0,0,1,0,Intel,i5,11.0,Intel i5 11.0
17,Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),59990.0,acer,233,4.2,Windows,Performance,thick,heavy,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,8.0,1,0,1,1,1,1,1,1,1,0,,3.0,medium,1920.0,1080.0,3,0,0,Intel,i5,12.0,Intel i5 12.0
18,Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),58990.0,asus,169,4.3,Windows,Performance,thick,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,18.0,16.0,12.0,1,0,1,1,1,1,1,1,0,0,,3.0,high,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
19,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),57990.0,asus,166,4.4,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,8,0,512,NVIDIA,12.0,12.0,6.0,1,0,1,1,1,1,1,0,1,0,,3.0,very_high,1920.0,1080.0,3,0,0,Intel,i5,11.0,Intel i5 11.0
20,HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),62990.0,hp,263,4.1,Windows,Gaming,thick,heavy,1.0,large,low,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,6.0,1,1,1,1,1,1,0,0,1,0,,4.0,high,1920.0,1080.0,3,0,0,Intel,i5,11.0,Intel i5 11.0
21,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),44990.0,samsung,335,4.2,Windows,Business,medium,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,12.0,12.0,10.0,1,0,1,1,0,1,0,0,1,0,,4.0,low,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
22,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),41990.0,hp,1624,4.2,Windows,Everyday Use,medium,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,10.0,8.0,6.0,1,1,1,1,1,1,0,0,0,0,,3.0,low,1920.0,1080.0,2,0,0,Intel,i3,12.0,Intel i3 12.0
23,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,acer,99,4.45,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,8.0,1,0,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,3,0,0,Intel,i5,13.0,Intel i5 13.0
24,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),64990.0,asus,349,4.0,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,24.0,16.0,10.0,1,0,1,1,1,1,0,1,0,0,,3.0,low,1920.0,1080.0,0,1,0,Intel,i7,12.0,Intel i7 12.0
25,Acer Swift 3 OLED NX.KAWSI.002 Laptop (12th Gen Core i5/ 16GB/ 512B SSD/ Win11 Home),62990.0,acer,236,4.55,Windows,Performance,medium,lite,1.0,small,high,16:10,1,0,16,0,512,Integrated,18.0,16.0,12.0,1,0,1,1,1,1,1,1,0,0,,3.0,medium,2880.0,1800.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
26,Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),59990.0,lenovo,69,4.0,Windows,Performance,thick,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,12.0,12.0,10.0,1,1,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,2,0,0,Intel,i7,12.0,Intel i7 12.0
27,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),80980.0,asus,90,4.25,Windows,Gaming,medium,heavy,1.0,medium,low,16:9,1,0,16,0,1024,NVIDIA,24.0,16.0,8.0,1,0,1,1,1,1,1,0,1,0,,4.0,very_high,1920.0,1080.0,3,0,0,Intel,i7,11.0,Intel i7 11.0
28,HP 14-ep0068TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),38490.0,hp,163,4.15,Windows,Performance,medium,lite,1.0,small,medium,16:9,1,0,8,0,512,Integrated,6.0,8.0,8.0,1,0,1,1,0,1,0,0,0,0,,3.0,low,1920.0,1080.0,2,0,0,Intel,i3,13.0,Intel i3 13.0
29,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),61990.0,asus,153,4.4,Windows,Everyday Use,medium,medium,1.0,large,very_high,16:10,1,0,16,0,512,AMD,16.0,16.0,8.0,1,0,1,1,1,1,0,1,0,0,,3.0,medium,1920.0,1200.0,0,1,0,AMD,7,5.0,AMD 7 5.0
30,Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),37990.0,infinix,219,4.15,Windows,Performance,slim,lite,1.0,small,medium,16:9,0,0,16,0,512,Integrated,12.0,12.0,10.0,1,0,1,1,1,1,0,0,0,0,,3.0,medium,1920.0,1080.0,0,0,2,Intel,i5,12.0,Intel i5 12.0
31,Lenovo Legion Y9000X 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),148990.0,lenovo,87,4.2,Windows,Gaming,thick,heavy,1.0,large,high,16:10,1,0,32,0,1024,NVIDIA,24.0,20.0,14.0,1,0,1,1,1,1,1,0,1,0,,3.0,very_high,3200.0,2000.0,3,0,0,Intel,i9,13.0,Intel i9 13.0
32,HP Victus 15-fa0555TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),71960.0,hp,104,4.35,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,8.0,1,1,1,1,1,1,0,0,1,0,,4.0,high,1920.0,1080.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
33,Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),46990.0,others,442,4.2,Windows,Everyday Use,medium,lite,1.0,small,high,16:9,1,0,16,0,512,Integrated,12.0,12.0,8.0,1,0,1,1,1,1,0,1,0,0,,2.0,high,1920.0,1200.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
34,Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),25990.0,others,92,4.5,Windows,Business,medium,medium,1.0,medium,low,16:9,1,0,8,0,256,Integrated,8.0,8.0,4.0,1,0,1,1,1,1,0,0,0,0,,2.0,low,1080.0,1920.0,0,1,0,Intel,i3,11.0,Intel i3 11.0
35,Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),49990.0,acer,458,4.15,Windows,Performance,medium,heavy,1.0,medium,low,16:9,0,0,16,0,512,NVIDIA,12.0,12.0,8.0,1,0,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,3,0,0,Intel,i5,12.0,Intel i5 12.0
36,MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),63990.0,msi,713,4.3,Windows,Performance,medium,medium,2.0,medium,low,16:9,1,0,16,1024,256,NVIDIA,24.0,16.0,8.0,1,0,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,3,0,0,Intel,i7,11.0,Intel i7 11.0
37,MSI GF63 Thin 11UC-1293IN Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),64990.0,msi,705,4.3,Windows,Gaming,medium,medium,2.0,medium,low,16:9,1,0,16,0,512,NVIDIA,24.0,16.0,8.0,1,0,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,3,0,0,Intel,i7,11.0,Intel i7 11.0
38,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37516.0,dell,478,4.1,Windows,Everyday Use,medium,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,10.0,8.0,6.0,1,1,1,1,0,1,0,0,0,1,,3.0,low,1920.0,1080.0,0,1,0,Intel,i3,12.0,Intel i3 12.0
39,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),53981.0,asus,149,4.25,Windows,Gaming,medium,medium,1.0,large,medium,16:10,1,0,16,0,512,AMD,16.0,12.0,6.0,1,0,1,1,1,1,0,1,0,0,,3.0,medium,1920.0,1200.0,0,1,0,AMD,5,5.0,AMD 5 5.0
40,HP 247 G8 67U77PA Laptop (Athlon P-3045B HD/ 8GB/ 1TB HDD/ Win11),22980.0,hp,1043,3.55,Windows,Everyday Use,medium,lite,1.0,small,low,16:9,1,0,8,1024,0,AMD,12.0,12.0,6.0,1,1,1,1,0,1,0,0,1,0,,2.0,low,1366.0,768.0,2,0,0,AMD,3045B,7.0,others
41,Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),46990.0,others,2073,4.2,Windows,Everyday Use,medium,medium,1.0,medium,high,16:10,0,0,16,0,512,Integrated,8.0,8.0,4.0,1,0,1,1,1,1,1,1,0,0,,2.0,low,3200.0,2000.0,0,1,0,Intel,i5,11.0,Intel i5 11.0
42,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),56990.0,lenovo,76,4.7,Windows,Everyday Use,medium,lite,1.0,small,low,16:9,1,0,16,0,512,Integrated,12.0,12.0,8.0,1,0,1,1,1,1,0,0,0,0,,3.0,high,1920.0,1080.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
43,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),29990.0,infinix,154,4.35,Windows,Performance,thick,lite,1.0,small,medium,16:9,0,0,8,0,512,Integrated,10.0,8.0,6.0,1,0,1,1,1,1,0,0,0,0,,3.0,medium,1920.0,1080.0,0,0,2,Intel,i3,12.0,Intel i3 12.0
44,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),89990.0,asus,107,4.55,Windows,Gaming,thick,heavy,1.0,large,medium,16:10,1,0,16,0,512,NVIDIA,20.0,16.0,10.0,1,0,1,1,1,1,1,0,0,0,,4.0,high,1920.0,1200.0,2,0,0,Intel,i5,13.0,Intel i5 13.0
45,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55990.0,asus,73,4.0,Windows,Performance,thick,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,18.0,16.0,12.0,1,0,1,1,1,1,0,1,0,0,,3.0,low,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
46,Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),27990.0,acer,141,4.35,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,6.0,4.0,2.0,1,1,1,1,0,1,0,0,1,0,,3.0,low,1920.0,1080.0,0,1,0,Intel,i3,11.0,Intel i3 11.0
47,Acer One 14 Z8-415UN.599SI.009 Laptop (11th Gen Core i3 / 8GB/ 256GB SSD/ Win11 Home),24990.0,acer,1153,4.1,Windows,Everyday Use,medium,lite,1.0,small,medium,16:9,1,0,8,0,256,Integrated,6.0,4.0,2.0,1,0,1,1,0,1,0,0,1,0,,2.0,medium,1920.0,1080.0,0,1,0,Intel,i3,11.0,Intel i3 11.0
48,Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),32990.0,acer,783,3.95,Windows,Everyday Use,medium,lite,1.0,small,low,16:9,0,0,8,0,512,Integrated,8.0,8.0,4.0,1,0,1,1,0,1,0,0,1,0,,2.0,medium,1920.0,1080.0,0,1,0,Intel,i5,11.0,Intel i5 11.0
49,HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),36850.0,hp,106,4.0,Windows,Everyday Use,medium,medium,1.0,medium,low,16:9,1,0,8,0,512,AMD,16.0,12.0,6.0,1,1,1,1,0,1,0,0,1,0,,3.0,low,1366.0,768.0,2,0,0,AMD,5,5.0,AMD 5 5.0
50,Lenovo V15 82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),36990.0,lenovo,159,3.95,Windows,Performance,medium,medium,1.0,medium,medium,16:9,1,0,8,0,512,AMD,8.0,12.0,6.0,1,0,1,1,0,1,0,0,1,0,,2.0,low,1920.0,1080.0,0,1,0,AMD,5,5.0,AMD 5 5.0
51,Dell G15-5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),67990.0,dell,246,4.3,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,8,0,512,NVIDIA,18.0,16.0,12.0,1,0,1,1,1,1,0,0,1,0,,3.0,low,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
52,Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),18990.0,lenovo,60,4.2,Windows,Everyday Use,thick,medium,1.0,small,medium,16:9,1,0,8,0,256,AMD,4.0,2.0,2.0,1,1,1,1,0,1,0,0,0,0,,2.0,low,1920.0,1080.0,0,1,0,AMD,3045B,7.0,others
53,Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35980.0,dell,1375,4.1,Windows,Everyday Use,thick,medium,1.0,medium,medium,16:9,0,0,8,0,512,Integrated,6.0,4.0,2.0,1,1,1,1,1,1,0,0,0,0,,3.0,medium,1920.0,1080.0,0,1,0,Intel,i3,11.0,Intel i3 11.0
54,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512B SSD/ Win11/ 6GB Graph),80990.0,hp,104,4.0,Windows,Gaming,medium,heavy,1.0,large,low,16:9,1,0,16,0,512,NVIDIA,16.0,16.0,8.0,1,0,1,1,1,1,0,0,1,0,,4.0,high,1920.0,1080.0,3,0,0,AMD,7,7.0,AMD 7 7.0
55,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),53999.0,hp,107,4.3,Windows,Everyday Use,thick,medium,1.0,medium,low,16:9,1,0,8,0,512,Integrated,12.0,12.0,10.0,1,1,1,1,0,1,0,0,0,0,,3.0,low,1920.0,1080.0,0,0,1,Intel,i5,12.0,Intel i5 12.0
56,Lenovo IdeaPad Slim 5 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),58989.0,lenovo,110,4.6,Windows,Everyday Use,medium,medium,1.0,large,low,16:10,1,0,16,0,512,Integrated,12.0,12.0,8.0,1,0,1,1,1,1,0,0,0,0,,3.0,high,1920.0,1080.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
57,MSI Katana 15 B13VFK-843IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),126990.0,msi,110,4.1,Windows,Performance,thick,heavy,2.0,medium,low,16:9,1,0,16,0,1024,NVIDIA,24.0,20.0,14.0,1,0,1,1,1,1,0,0,1,0,,3.0,medium,1920.0,1080.0,0,1,0,Intel,i9,13.0,Intel i9 13.0
58,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),42999.0,acer,154,3.75,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,8.0,8.0,4.0,1,1,1,1,0,1,0,0,1,0,,3.0,low,1920.0,1080.0,0,1,0,Intel,i5,11.0,Intel i5 11.0
59,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),84499.0,dell,118,4.05,Windows,Everyday Use,medium,medium,1.0,small,low,16:10,1,0,16,0,1024,Integrated,18.0,16.0,12.0,1,1,1,1,1,1,0,1,0,0,,4.0,medium,1920.0,1200.0,2,0,0,Intel,i7,13.0,Intel i7 13.0
60,Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),30990.0,infinix,423,4.3,Windows,Everyday Use,slim,lite,1.0,small,medium,16:9,0,0,8,0,256,Integrated,6.0,4.0,2.0,1,0,1,1,1,1,0,0,0,0,,2.0,medium,1920.0,1080.0,2,0,0,Intel,i3,11.0,Intel i3 11.0
61,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),74990.0,hp,68,4.55,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,Integrated,12.0,16.0,12.0,1,0,1,1,1,1,0,0,0,0,,3.0,low,1920.0,1080.0,2,0,0,Intel,i5,13.0,Intel i5 13.0
62,HP Victus 16-d0333TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),62750.0,hp,439,4.35,Windows,Gaming,thick,heavy,1.0,large,low,16:9,1,0,16,0,512,NVIDIA,12.0,12.0,6.0,1,1,1,1,1,1,0,0,1,1,,4.0,high,1920.0,1080.0,3,0,0,Intel,i5,11.0,Intel i5 11.0
63,Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,asus,251,4.3,Windows,Gaming,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,16.0,12.0,6.0,1,0,1,1,1,1,0,1,0,0,,3.0,medium,1920.0,1080.0,0,2,0,AMD,5,5.0,AMD 5 5.0
64,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),11990.0,others,1923,4.2,Others,Everyday Use,medium,lite,1.0,small,low,16:9,0,0,4,64,0,Integrated,12.0,16.0,8.0,0,0,1,1,0,1,0,0,0,0,2.0,2.0,low,1366.0,768.0,2,0,0,Mediatek,MTK8788,1.0,others
65,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),49990.0,acer,750,4.0,Windows,Gaming,medium,medium,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,12.0,16.0,12.0,1,0,1,1,1,1,1,0,1,0,,3.0,medium,1920.0,1080.0,2,0,0,Intel,i5,12.0,Intel i5 12.0
66,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),72990.0,dell,504,4.15,Windows,Gaming,thick,heavy,1.0,medium,low,16:9,1,0,16,0,512,NVIDIA,18.0,16.0,12.0,1,0,1,1,1,1,0,0,1,0,,3.0,high,1920.0,1080.0,0,1,0,Intel,i5,12.0,Intel i5 12.0
67,Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),29990.0,asus,91,4.55,Windows,Performance,medium,medium,1.0,medium,low,16:9,1,0,8,0,256,Integrated,6.0,4.0,2.0,1,0,1,1,1,1,0,1,0,0,,2.0,low,1920.0,1080.0,0,2,0,Intel,i3,11.0,Intel i3 11.0
68,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),144990.0,acer,101,4.65,Windows,Performance,slim,heavy,1.0,large,medium,16:9,1,0,16,0,1024,NVIDIA,36.0,32.0,24.0,1,0,1,1,1,1,1,0,1,0,,4.0,very_high,1920.0,1200.0,3,0,0,Intel,i9,13.0,Intel i9 13.0
