name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,core,hdmi,mcr,wifi,bluetooth,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity,pixel_width,pixel_height,usb3,usb2,type_c,processor_brand,processor_model,processor_gen
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),85990.0,Asus,68,4.4,Windows,Performance,25,2.2,1.0,15.6,141,16:9,1,0,16,0,1024,NVIDIA,24,20,14.0,1,0,1,1,1,1,1,0,1,0,,4,76,1920,1080,2,0,0,Intel,i7,12th
Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),49990.0,Samsung,332,4.3,Windows,Business,18.5,1.8,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,12,12,10.0,1,0,1,1,0,1,0,0,1,0,,4,43,1920,1080,0,1,0,Intel,i5,12th
Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),67190.0,Dell,119,4.35,Windows,Gaming,26.9,2.57,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,18,16,12.0,1,0,1,1,1,1,0,0,1,0,,3,56,1920,1080,3,0,0,Intel,i5,12th
HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),45990.0,HP,66,4.25,Windows,Performance,17.9,1.69,1.0,15.6,141,16:9,1,0,16,0,512,AMD,8,12,6.0,1,1,1,1,1,1,0,0,0,0,,3,,1920,1080,2,0,0,AMD,5,5th
Acer One 14 Z8-415 2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),34990.0,Acer,250,3.85,Windows,Everyday Use,21.6,1.49,1.0,14,135,16:9,0,0,16,0,512,Integrated,8,8,4.0,1,0,1,1,0,1,0,0,1,0,,2,45.5,1920,1080,0,1,0,Intel,i5,11th
Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),59990.0,Acer,233,4.2,Windows,Performance,,2.1,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,1,1,1,0,,3,50,1920,1080,3,0,0,Intel,i5,12th
Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),58990.0,Asus,169,4.3,Windows,Performance,,1.8,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,18,16,12.0,1,0,1,1,1,1,1,1,0,0,,3,70,1920,1080,0,1,0,Intel,i5,12th
Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),57990.0,Asus,166,4.4,Windows,Gaming,24.5,2.3,1.0,15.6,141,16:9,1,0,8,0,512,NVIDIA,12,12,6.0,1,0,1,1,1,1,1,0,1,0,,3,90,1920,1080,3,0,0,Intel,i5,11th
HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),62990.0,HP,263,4.1,Windows,Gaming,23.5,2.48,1.0,16.1,137,16:9,1,0,16,0,512,NVIDIA,12,12,6.0,1,1,1,1,1,1,0,0,1,0,,4,70,1920,1080,3,0,0,Intel,i5,11th
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),44990.0,Samsung,335,4.2,Windows,Business,18.5,1.8,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,12,12,10.0,1,0,1,1,0,1,0,0,1,0,,4,43,1920,1080,0,1,0,Intel,i5,12th
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),41990.0,HP,1624,4.2,Windows,Everyday Use,17.9,1.69,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,10,8,6.0,1,1,1,1,1,1,0,0,0,0,,3,41,1920,1080,2,0,0,Intel,i3,12th
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,Acer,99,4.45,Windows,Gaming,25.9,2.6,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,0,0,1,0,,,,1920,1080,3,0,0,Intel,i5,13th
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),64990.0,Asus,349,4.0,Windows,Performance,19.9,1.7,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,24,16,10.0,1,0,1,1,1,1,0,1,0,0,,3,42,1920,1080,0,1,0,Intel,i7,12th
Acer Swift 3 OLED NX.KAWSI.002 Laptop (12th Gen Core i5/ 16GB/ 512B SSD/ Win11 Home),62990.0,Acer,236,4.55,Windows,Performance,17.9,1.4,1.0,14,243,16:10,1,0,16,0,512,Integrated,18,16,12.0,1,0,1,1,1,1,1,1,0,0,,3,,2880,1800,2,0,0,Intel,i5,12th
Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),59990.0,Lenovo,69,4.0,Windows,Performance,,1.7,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,12,12,10.0,1,1,1,1,1,1,0,0,1,0,,3,,1920,1080,2,0,0,Intel,i7,12th
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),80980.0,Asus,90,4.25,Windows,Gaming,22.8,2.2,1.0,15.6,141,16:9,1,0,16,0,1024,NVIDIA,24,16,8.0,1,0,1,1,1,1,1,0,1,0,,4,90,1920,1080,3,0,0,Intel,i7,11th
HP 14-ep0068TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),38490.0,HP,163,4.15,Windows,Performance,,1.4,1.0,14,157,16:9,1,0,8,0,512,Integrated,6,8,8.0,1,0,1,1,0,1,0,0,0,0,,3,41,1920,1080,2,0,0,Intel,i3,13th
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),61990.0,Asus,153,4.4,Windows,Everyday Use,19.9,1.8,1.0,16,283,16:10,1,0,16,0,512,AMD,16,16,8.0,1,0,1,1,1,1,0,1,0,0,,,,1920,1200,0,1,0,AMD,7,5th
Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),37990.0,Infinix,219,4.15,Windows,Performance,14.8,1.24,1.0,14,157,16:9,0,0,16,0,512,Integrated,12,12,10.0,1,0,1,1,1,1,0,0,0,0,,3,50,1920,1080,0,0,2,Intel,i5,12th
Lenovo Legion Y9000X 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),148990.0,Lenovo,87,4.2,Windows,Gaming,,,1.0,16,236,16:10,1,0,32,0,1024,NVIDIA,24,20,14.0,1,0,1,1,1,1,1,0,1,0,,3,99,3200,2000,3,0,0,Intel,i9,13th
HP Victus 15-fa0555TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),71960.0,HP,104,4.35,Windows,Gaming,23.5,2.29,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,12,12,8.0,1,1,1,1,1,1,0,0,1,0,,4,70,1920,1080,2,0,0,Intel,i5,12th
Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),46990.0,Honor,442,4.2,Windows,Everyday Use,17,1.43,1.0,14,162,16:9,1,0,16,0,512,Integrated,12,12,8.0,1,0,1,1,1,1,0,1,0,0,,,60,1920,1200,2,0,0,Intel,i5,12th
Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),25990.0,Wings,92,4.5,Windows,Business,18.4,1.6,1.0,15.6,141,16:9,1,0,8,0,256,Integrated,8,8,4.0,1,0,1,1,1,1,0,0,0,0,,,17.85,1080,1920,0,1,0,Intel,i3,11th
Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),49990.0,Acer,458,4.15,Windows,Performance,19.9,2.1,1.0,15.6,141,16:9,0,0,16,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,0,0,1,0,,3,,1920,1080,3,0,0,Intel,i5,12th
MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),63990.0,MSI,713,4.3,Windows,Performance,21.7,1.86,2.0,15.6,141,16:9,1,0,16,1024,256,NVIDIA,24,16,8.0,1,0,1,1,1,1,0,0,1,0,,3,,1920,1080,3,0,0,Intel,i7,11th
MSI GF63 Thin 11UC-1293IN Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),64990.0,MSI,705,4.3,Windows,Gaming,21.7,1.86,2.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,24,16,8.0,1,0,1,1,1,1,0,0,1,0,,3,52.4,1920,1080,3,0,0,Intel,i7,11th
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37516.0,Dell,478,4.1,Windows,Everyday Use,21,1.65,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,10,8,6.0,1,1,1,1,0,1,0,0,0,1,,3,41,1920,1080,0,1,0,Intel,i3,12th
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),53981.0,Asus,149,4.25,Windows,Gaming,20,1.88,1.0,16,142,16:10,1,0,16,0,512,AMD,16,12,6.0,1,0,1,1,1,1,0,1,0,0,,3,50,1920,1200,0,1,0,AMD,5,5th
HP 247 G8 67U77PA Laptop (Athlon P-3045B HD/ 8GB/ 1TB HDD/ Win11),22980.0,HP,1043,3.55,Windows,Everyday Use,19.9,1.47,1.0,14,112,16:9,1,0,8,1024,0,AMD,,,,1,1,1,1,0,1,0,0,1,0,,,,1366,768,2,0,0,AMD,3045B,AMD
Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),46990.0,Xiaomi,2073,4.2,Windows,Everyday Use,17.9,1.7,1.0,15.6,242,16:10,0,0,16,0,512,Integrated,8,8,4.0,1,0,1,1,1,1,1,1,0,0,,,,3200,2000,0,1,0,Intel,i5,11th
Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),56990.0,Lenovo,76,4.7,Windows,Everyday Use,,1.46,1.0,14,141,16:9,1,0,16,0,512,Integrated,12,12,8.0,1,0,1,1,1,1,0,0,0,0,,,56.6,1920,1080,2,0,0,Intel,i5,12th
Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),29990.0,Infinix,154,4.35,Windows,Performance,211.1,1.24,1.0,14,157,16:9,0,0,8,0,512,Integrated,10,8,6.0,1,0,1,1,1,1,0,0,0,0,,3,50,1920,1080,0,0,2,Intel,i3,12th
Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),89990.0,Asus,107,4.55,Windows,Gaming,30.4,2.5,1.0,16,142,16:10,1,0,16,0,512,NVIDIA,20,16,10.0,1,0,1,1,1,1,1,0,0,0,,4,,1920,1200,2,0,0,Intel,i5,13th
Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55990.0,Asus,73,4.0,Windows,Performance,,1.7,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,18,16,12.0,1,0,1,1,1,1,0,1,0,0,,3,42,1920,1080,0,1,0,Intel,i5,12th
Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),27990.0,Acer,141,4.35,Windows,Performance,19.7,1.59,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,6,4,2.0,1,1,1,1,0,1,0,0,1,0,,3,36,1920,1080,0,1,0,Intel,i3,11th
Acer One 14 Z8-415UN.599SI.009 Laptop (11th Gen Core i3 / 8GB/ 256GB SSD/ Win11 Home),24990.0,Acer,1153,4.1,Windows,Everyday Use,21.6,1.5,1.0,14,157,16:9,1,0,8,0,256,Integrated,6,4,2.0,1,0,1,1,0,1,0,0,1,0,,,45.5,1920,1080,0,1,0,Intel,i3,11th
Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),32990.0,Acer,783,3.95,Windows,Everyday Use,21.6,1.5,1.0,14,135,16:9,0,0,8,0,512,Integrated,8,8,4.0,1,0,1,1,0,1,0,0,1,0,,2,45.5,1920,1080,0,1,0,Intel,i5,11th
HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),36850.0,HP,106,4.0,Windows,Everyday Use,17.9,1.75,1.0,15.6,100,16:9,1,0,8,0,512,AMD,16,12,6.0,1,1,1,1,0,1,0,0,1,0,,3,41,1366,768,2,0,0,AMD,5,5th
Lenovo V15 82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),36990.0,Lenovo,159,3.95,Windows,Performance,19.9,1.7,1.0,15.6,147,16:9,1,0,8,0,512,AMD,8,12,6.0,1,0,1,1,0,1,0,0,1,0,,,38,1920,1080,0,1,0,AMD,5,5th
Dell G15-5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),67990.0,Dell,246,4.3,Windows,Gaming,26.9,2.57,1.0,15.6,141,16:9,1,0,8,0,512,NVIDIA,18,16,12.0,1,0,1,1,1,1,0,0,1,0,,3,41,1920,1080,0,1,0,Intel,i5,12th
Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),18990.0,Lenovo,60,4.2,Windows,Everyday Use,,1.8,1.0,14,157,16:9,1,0,8,0,256,AMD,4,2,2.0,1,1,1,1,0,1,0,0,0,0,,,,1920,1080,0,1,0,AMD,3045B,AMD
Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35980.0,Dell,1375,4.1,Windows,Everyday Use,23.5,1.8,1.0,15.56,147,16:9,0,0,8,0,512,Integrated,6,4,2.0,1,1,1,1,1,1,0,0,0,0,,3,,1920,1080,0,1,0,Intel,i3,11th
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512B SSD/ Win11/ 6GB Graph),80990.0,HP,104,4.0,Windows,Gaming,22.9,2.31,1.0,16.1,137,16:9,1,0,16,0,512,NVIDIA,16,16,8.0,1,0,1,1,1,1,0,0,1,0,,4,70,1920,1080,3,0,0,AMD,7,7th
HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),53999.0,HP,107,4.3,Windows,Everyday Use,242,1.69,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,12,12,10.0,1,1,1,1,0,1,0,0,0,0,,3,41,1920,1080,0,0,1,Intel,i5,12th
Lenovo IdeaPad Slim 5 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),58989.0,Lenovo,110,4.6,Windows,Everyday Use,17.9,1.89,1.0,16,141,16:10,1,0,16,0,512,Integrated,12,12,8.0,1,0,1,1,1,1,0,0,0,0,,,56.6,1920,1080,2,0,0,Intel,i5,12th
MSI Katana 15 B13VFK-843IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),126990.0,MSI,110,4.1,Windows,Performance,24.9,2.25,2.0,15.6,141,16:9,1,0,16,0,1024,NVIDIA,24,20,14.0,1,0,1,1,1,1,0,0,1,0,,3,53.5,1920,1080,0,1,0,Intel,i9,13th
Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),42999.0,Acer,154,3.75,Windows,Performance,19.7,1.59,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,8,8,4.0,1,1,1,1,0,1,0,0,1,0,,3,36,1920,1080,0,1,0,Intel,i5,11th
Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),84499.0,Dell,118,4.05,Windows,Everyday Use,19.5,1.59,1.0,14,141,16:10,1,0,16,0,1024,Integrated,18,16,12.0,1,1,1,1,1,1,0,1,0,0,,4,54,1920,1200,2,0,0,Intel,i7,13th
Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),30990.0,Infinix,423,4.3,Windows,Everyday Use,14.8,1.24,1.0,14,157,16:9,0,0,8,0,256,Integrated,6,4,2.0,1,0,1,1,1,1,0,0,0,0,,,50,1920,1080,2,0,0,Intel,i3,11th
HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),74990.0,HP,68,4.55,Windows,Performance,17.9,1.75,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,12,16,12.0,1,0,1,1,1,1,0,0,0,0,,3,41,1920,1080,2,0,0,Intel,i5,13th
HP Victus 16-d0333TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),62750.0,HP,439,4.35,Windows,Gaming,23.5,2.46,1.0,16.1,137,16:9,1,0,16,0,512,NVIDIA,12,12,6.0,1,1,1,1,1,1,0,0,1,1,,4,70,1920,1080,3,0,0,Intel,i5,11th
Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,Asus,251,4.3,Windows,Gaming,19.9,1.8,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,16,12,6.0,1,0,1,1,1,1,0,1,0,0,,3,50,1920,1080,0,2,0,AMD,5,5th
Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),11990.0,Primebook,1923,4.2,Others,Everyday Use,19.3,1.2,1.0,11.6,135,16:9,0,0,4,64,0,Integrated,,,8.0,0,0,1,1,0,1,0,0,0,0,2,,,1366,768,2,0,0,Mediatek,MTK8788,MediaTek
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),49990.0,Acer,750,4.0,Windows,Gaming,17.9,1.8,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,12,16,12.0,1,0,1,1,1,1,1,0,1,0,,3,,1920,1080,2,0,0,Intel,i5,12th
Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),72990.0,Dell,504,4.15,Windows,Gaming,26.9,2.57,1.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,18,16,12.0,1,0,1,1,1,1,0,0,1,0,,3,56,1920,1080,0,1,0,Intel,i5,12th
Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),29990.0,Asus,91,4.55,Windows,Performance,19.9,1.8,1.0,15.6,141,16:9,1,0,8,0,256,Integrated,6,4,2.0,1,0,1,1,1,1,0,1,0,0,,2,37,1920,1080,0,2,0,Intel,i3,11th
Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),144990.0,Acer,101,4.65,Windows,Performance,2.6,2.6,1.0,16,142,16:9,1,0,16,0,1024,NVIDIA,36,32,24.0,1,0,1,1,1,1,1,0,1,0,,4,90,1920,1200,3,0,0,Intel,i9,13th
Asus Vivobook 14X OLED 2023 K3405VCB-KM951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/4 GB Graphics),109990.0,Asus,76,4.2,Windows,Performance,18.9,1.45,1.0,14,243,16:10,1,0,16,0,1024,NVIDIA,24,20,14.0,1,0,1,1,1,1,0,1,0,0,,3,63,2880,1800,2,0,0,Intel,i9,13th
HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),87990.0,HP,110,4.6,Windows,Gaming,22.5,2.29,1.0,15.6,137,16:9,1,0,16,0,1024,NVIDIA,24,16,10.0,1,1,1,1,1,1,0,0,1,0,,4,70,1920,1080,2,0,0,Intel,i7,12th
Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),88990.0,Asus,81,4.45,Windows,Gaming,27,2.5,1.0,17.3,170,16:9,1,0,16,0,512,NVIDIA,16,16,8.0,1,0,1,1,1,1,0,0,1,0,,4,56,1920,1080,2,0,0,AMD,7,6th
HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),56990.0,HP,99,4.15,Windows,Gaming,23.5,2.29,1.0,15.6,141,16:9,1,0,16,0,512,AMD,16,12,6.0,1,1,1,1,1,1,0,0,1,0,,3,52.5,1920,1080,2,0,0,AMD,5,5th
MSI Thin GF63 11SC-1493IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),48990.0,MSI,126,4.45,Windows,Performance,,1.86,2.0,15.6,141,16:9,1,0,16,0,512,NVIDIA,12,12,6.0,1,0,1,1,1,1,1,0,1,0,,3,,1920,1080,3,0,0,Intel,i5,11th
Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),93050.0,Lenovo,221,4.45,Windows,Gaming,25.2,2.4,1.0,15.6,184,16:10,1,0,16,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,1,0,1,0,,3,60,1920,1080,3,0,0,Intel,i5,12th
Lenovo LOQ 2023 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 8GB Graph),89999.0,Lenovo,65,4.0,Windows,Gaming,,,1.0,15.6,184,16:10,1,0,8,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,1,0,1,0,,3,60,1920,1080,3,0,0,Intel,i5,13th
Walker NU14A1 Laptop (Celeron N4020/ 4GB/ 128GB SSD / Win11 Home),13990.0,Walker,151,4.2,Windows,Performance,,,1.0,14.1,156,16:9,1,0,4,0,256,Integrated,4,2,2.0,1,0,1,1,0,1,0,0,0,0,,2,18.5,1920,1080,0,1,0,Intel,N4020,Intel
